GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,city,pop,perc_rent,perc_occ,housing_price,rent,rent_1br,under_10_p,over_65_p,median_age,white_p,black_p,native_amr_p,asian_p,hispanic_p,pov_p,no_hs_p,no_college_p,bach_degree_p,graduate_degree_p,med_hou_inc,km,pop_dens,res_tree,res_grass,street_tree,park_tree,park_grass,other_tree,other_grass,Shape_Area,land_area,res_treey,res_grassy,street_treey,park_treey,park_grassy,other_treey,other_grassy,total_treey,total_grassy,totally,median_year_built
36081033900,150834,0,40.7590238,-73.8798382,NYC,2666,0.434176112,0.565823888,563700,1660,1400,0.125656414,0.252813203,42.7,0.498874719,0.051012753,0,0.211552888,0.433983496,0.230740323,0.097186701,0.483375959,0.115089514,0.134526854,54780,0.150834,17675.06,12532.66128,4822.786441,13664.69539,65.83460765,18.46580458,3665.060779,3620.903421,150826.5825,150834,0.0830891,0.031974133,0.090594265,0.000436471,0.000122425,0.024298638,0.024005883,0.198418474,0.056102442,0.254520915,1950
36081034700,382772,0,40.7668848,-73.8786774,NYC,2840,0.569511026,0.430488974,629500,1883,1606,0.06443662,0.146478873,42.8,0.263028169,0.125352113,0.018390805,0.208802817,0.56443662,0.133458647,0.221847931,0.360923965,0.164581328,0.053416747,59583,0.382772,7419.560469,23171.37331,15601.19629,18686.59138,1598.496388,1747.025686,18701.84574,22572.43895,382753.9779,382772,0.060535706,0.040758457,0.048819118,0.004176106,0.004564142,0.04885897,0.058970977,0.1623899,0.104293577,0.266683477,1952
36081035100,139241,0,40.7590997,-73.8770465,NYC,3480,0.377850163,0.622149837,247900,1607,1176,0.059195402,0.249425287,44,0.350287356,0.106896552,0,0.15,0.655172414,0.111781609,0.130548303,0.363297277,0.189108542,0.137262216,55417,0.139241,24992.63866,9191.956377,3698.780944,11091.52567,0,0,2066.564391,3745.346886,139234.2506,139241,0.066014725,0.026563878,0.079657038,0,0,0.014841637,0.026898305,0.160513401,0.053462183,0.213975584,1952
36081035200,606225,0,40.679483,-73.757596,NYC,2643,0.295424837,0.704575163,464000,1644,,0.11502081,0.158910329,41.4,0.015134317,0.812712826,0,0.02005297,0.038214151,0.092255125,0.142781597,0.23162348,0.11581174,0.068746695,100893,0.606225,4359.767413,48301.72762,48085.758,29050.72492,0,0,24024.81462,27096.56107,606185.4182,606225,0.079676238,0.079319985,0.047920698,0,0,0.039630194,0.044697202,0.16722713,0.124017187,0.291244317,1950
36081035300,155114,0,40.759612,-73.8741249,NYC,2139,0.659231722,0.340768278,851400,1415,950,0.095371669,0.128097242,40.5,0.19541842,0.11313698,0,0.089761571,0.770453483,0.149317004,0.180437424,0.42345079,0.095382746,0.094167679,75769,0.155114,13789.85778,7782.935201,5188.088227,12694.03636,262.5355695,96.34332826,2303.408407,4502.444874,155104.8449,155114,0.050175582,0.033446937,0.081836819,0.001692533,0.000621113,0.014849778,0.029026683,0.148554712,0.063094733,0.211649445,1939
36081035700,618526,0,40.7680154,-73.8712399,NYC,3507,0.490631506,0.509368494,653800,1688,,0.076988879,0.300826918,48.2,0.23182207,0.338180781,0,0.120901055,0.431137725,0.172242464,0.218228032,0.40885984,0.101670298,0.029774873,80733,0.618526,5669.931418,35954.52725,41894.09343,41518.35445,15969.70952,8832.274618,36242.75437,27172.83288,618494.299,618526,0.058129371,0.067732146,0.067124671,0.025818979,0.014279553,0.058595361,0.043931594,0.209668382,0.125943292,0.335611674,1956
36081035800,524485,0,40.675791,-73.7509805,NYC,4430,0.41991342,0.58008658,591600,1709,,0.105643341,0.154401806,42.4,0.048758465,0.907674944,0,0.005869074,0.085327314,0.084086799,0.101640399,0.350916693,0.172081055,0.142489546,95398,0.524485,8446.380735,82393.61719,61747.24194,36280.48884,0,0,4677.468587,20948.25101,524452.2663,524485,0.157094325,0.117729281,0.069173549,0,0,0.008918212,0.03994061,0.235186087,0.157669891,0.392855978,1956
36081036100,157376,0,40.7612829,-73.8724157,NYC,2196,0.683417085,0.316582915,629000,1674,,0.105191257,0.12431694,37.3,0.147996357,0.224499089,0.005552471,0.144808743,0.612021858,0.113242009,0.285537701,0.367119901,0.163782447,0.04697157,62000,0.157376,13953.84303,13229.54469,8902.123531,9467.337724,277.7899298,69.84891299,1429.895564,3815.195799,157368.7272,157376,0.084063292,0.056565954,0.060157443,0.001765135,0.000443835,0.009085855,0.024242552,0.155071726,0.08125234,0.236324066,1939
36081036300,134893,0,40.7596839,-73.8694173,NYC,1801,0.671709531,0.328290469,823900,1591,1392,0.183786785,0.081621321,34.9,0.117712382,0.152692948,0,0.064963909,0.749028318,0.113519681,0.244274809,0.388464801,0.117048346,0.045801527,63083,0.134893,13351.3229,9021.749831,7950.733165,11671.19136,492.1538352,414.2763115,1541.493252,3274.8703,134885.4196,134893,0.066880786,0.058941036,0.086521846,0.003648476,0.003071148,0.011427526,0.024277541,0.168478633,0.086289724,0.254768358,1939
36081036500,166196,0,40.7595246,-73.8656054,NYC,2794,0.757943925,0.242056075,573800,1714,1323,0.120615605,0.051896922,33.4,0.107372942,0.157480315,0.018604651,0.114889048,0.74051539,0.177105832,0.258488499,0.487404162,0.046549836,0.02026287,52347,0.166196,16811.47561,10028.53761,8356.980866,3877.016101,130.0634932,17.66294351,1987.081145,2427.851872,166188.4217,166196,0.06034163,0.050283887,0.023327975,0.000782591,0.000106278,0.011956251,0.014608365,0.096408448,0.06499853,0.161406977,1939
