Geography,city,pop_o16,med_hou_inc_1999,total_pop,Shape_Length,Shape_Area,asian,black,hispanic,white,pop,pop_dens_area,rent_t,rent_occ
24510100400,Baltimore,878,11625,963,2975.880099,188117.9304,0,0.94184839,0,0,963,0.005119129,299,0.897897898
24510180100,Baltimore,1316,9313,2045,2331.037498,341597.4276,0,0.972616137,0,0,2045,0.005986579,745,0.899758454
24510110100,Baltimore,2940,29548,3006,3051.579362,314968.2624,0,0.303393214,0,0.552561544,3006,0.009543819,1795,0.90519415
24510110200,Baltimore,4226,19143,4382,3872.619969,724821.5135,0,0.337060703,0,0.561159288,4382,0.006045626,2833,0.918612192
24510170200,Baltimore,2061,9010,2802,2490.613232,382564.5293,0,0.957173448,0,0,2802,0.007324255,1297,0.948792977
24510050100,Baltimore,2040,7944,2773,3209.044479,648215.8272,0,0.911648035,0,0,2773,0.004277896,1152,0.95049505
24510040100,Baltimore,1633,29094,1658,4596.707792,1208305.256,0,0.416164053,0,0.411338963,1658,0.00137217,854,0.966063348
24510270701,Baltimore,1918,22146,2780,2773.635137,375100.4921,0,0.900359712,0,0,2780,0.007411347,1247,0.992044551
24510040200,Baltimore,1312,12857,1320,2825.195151,436566.3087,0,0.462878788,0,0.460606061,1320,0.003023596,437,1
24510060500,Baltimore,917,12550,1148,2116.837847,267003.5804,0,0.93728223,0,0,1148,0.004299568,557,1
24510100300,Baltimore,6095,0,6095,1249.364271,94834.37096,0,0.867432322,0,0,6095,0.064269947,0,
25025110601,Boston,2079,65764,2555,,1395958.92,0,0,0,0.912720157,2555,0.001830283,135,0.134462151
25025120102,Boston,3090,98906,3622,,2289961.434,0,0,0,0.90585312,3622,0.001581686,292,0.197031039
25025130100,Boston,4269,60298,5041,,4289381.978,0,0,0,0.921642531,5041,0.001175228,479,0.234229829
25025130300,Boston,3504,65156,4340,,1566301.764,0,0,0,0.90483871,4340,0.002770858,411,0.238122827
25025140103,Boston,2719,51071,3596,,959408.1776,0,0.26807564,0.1932703,0.575083426,3596,0.003748144,320,0.264900662
25025130200,Boston,3861,68143,4689,,1363264.387,0,0,0,0.955427597,4689,0.003439538,545,0.291912159
25025130402,Boston,3845,54125,4507,,2067166.835,0,0,0,0.929221211,4507,0.002180279,673,0.320628871
25025140102,Boston,3201,49444,4124,,2315120.323,0,0.242483026,0.098448109,0.641367604,4124,0.001781333,524,0.337411462
25025110300,Boston,1951,51667,2414,,789269.7806,0,0.203396852,0.266777133,0.574565037,2414,0.003058523,317,0.359410431
25025140202,Boston,4253,50460,5470,,1525708.316,0,0.249177331,0.091042048,0.699451554,5470,0.00358522,732,0.371385084
25025140400,Boston,6066,42986,7978,,1870528.629,0,0.732890449,0.106919027,0.165705691,7978,0.004265104,1050,0.38405267
25025110402,Boston,3507,50410,4409,,934323.1068,0,0.171013835,0.173281923,0.664096167,4409,0.004718924,640,0.385310054
25025110501,Boston,2721,55754,3285,,623831.0802,0,0,0,0.818569254,3285,0.005265849,510,0.389908257
25025040600,Boston,1830,64470,2064,,1320775.474,0,0,0,0.939437984,2064,0.001562718,408,0.39688716
25025100900,Boston,3267,47109,4250,,946983.0981,0,0.589882353,0,0.265411765,4250,0.004487936,677,0.437338501
25025100700,Boston,3622,45566,4384,,1177465.556,0,0,0,0.929288321,4384,0.003723251,858,0.450393701
25025110602,Boston,4874,59524,5662,,1479340.886,0,0,0,0.893147298,5662,0.00382738,1051,0.495754717
25025070600,Boston,2087,89056,2193,,133309.4613,0,0,0,0.862745098,2193,0.016450445,637,0.499607843
25025092200,Boston,2815,50039,3676,,577381.8808,0,0.452121872,0.147986942,0.279379761,3676,0.00636667,586,0.503436426
25025040100,Boston,1688,75061,1873,,253696.3577,0,0,0,0.932728243,1873,0.007382842,548,0.50929368
25025040300,Boston,3266,65673,3845,,270279.6585,0,0,0.116254876,0.855656697,3845,0.014226006,957,0.51396348
